timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 16:00:00+00:00,288.0,1.62,3.24
2025-01-01 16:10:00+00:00,248.0,1.08,2.7
2025-01-01 16:20:00+00:00,283.0,2.16,2.7
2025-01-01 16:30:00+00:00,279.0,2.16,2.7
2025-01-01 16:40:00+00:00,275.0,1.62,2.16
2025-01-01 16:50:00+00:00,295.0,1.62,2.16
2025-01-01 17:00:00+00:00,287.0,2.7,2.7
2025-01-01 17:10:00+00:00,285.0,2.7,3.24
2025-01-01 17:20:00+00:00,300.0,2.16,3.24
2025-01-01 17:30:00+00:00,296.0,1.62,2.7
2025-01-01 17:40:00+00:00,269.0,1.62,2.7
2025-01-01 17:50:00+00:00,285.0,2.7,2.7
2025-01-01 18:00:00+00:00,331.0,0.54,2.7
2025-01-01 18:10:00+00:00,274.0,2.7,2.7
2025-01-01 18:20:00+00:00,306.0,0.54,3.78
2025-01-01 18:30:00+00:00,251.0,1.62,2.16
2025-01-01 18:40:00+00:00,296.0,2.7,3.24
2025-01-01 18:50:00+00:00,264.0,2.16,2.7
2025-01-01 19:00:00+00:00,293.0,2.7,3.24
2025-01-01 19:10:00+00:00,270.0,1.08,2.7
2025-01-01 19:20:00+00:00,,0.0,1.62
2025-01-01 19:30:00+00:00,274.0,2.7,2.7
2025-01-01 19:40:00+00:00,358.0,1.08,3.24
2025-01-01 19:50:00+00:00,282.0,2.16,2.7
2025-01-01 20:00:00+00:00,286.0,2.16,2.16
2025-01-01 20:10:00+00:00,292.0,2.16,2.16
2025-01-01 20:20:00+00:00,,0.0,2.16
2025-01-01 20:30:00+00:00,237.0,0.54,1.62
2025-01-01 20:40:00+00:00,272.0,2.16,2.16
2025-01-01 20:50:00+00:00,326.0,0.54,2.7
2025-01-01 21:00:00+00:00,,0.0,0.54
2025-01-01 21:10:00+00:00,4.0,0.54,1.62
2025-01-01 21:20:00+00:00,222.0,0.54,1.08
2025-01-01 21:30:00+00:00,201.0,0.54,1.08
2025-01-01 21:40:00+00:00,,0.0,1.62
2025-01-01 21:50:00+00:00,,0.0,0.54
2025-01-01 22:00:00+00:00,317.0,1.62,3.24
2025-01-01 22:10:00+00:00,246.0,1.08,1.62
2025-01-01 22:20:00+00:00,194.0,0.54,3.24
2025-01-01 22:30:00+00:00,,0.0,1.08
2025-01-01 22:40:00+00:00,210.0,1.08,1.62
2025-01-01 22:50:00+00:00,217.0,0.54,2.16
2025-01-01 23:00:00+00:00,260.0,1.62,1.62
2025-01-01 23:10:00+00:00,315.0,0.54,2.16
2025-01-01 23:20:00+00:00,224.0,1.08,1.62
2025-01-01 23:30:00+00:00,269.0,1.62,2.16
2025-01-01 23:40:00+00:00,285.0,1.62,2.16
2025-01-01 23:50:00+00:00,284.0,0.54,2.16
2025-01-02 00:00:00+00:00,288.0,1.62,2.16
